id,,Informasi umum,Nama entitas,Penjelasan perubahan nama dari akhir periode laporan sebelumnya,Kode entitas,Nomor identifikasi entitas,Industri utama entitas,Sektor,Subsektor,Informasi pemegang saham pengendali,Jenis entitas,Jenis efek yang dicatatkan,Jenis papan perdagangan tempat entitas tercatat,Apakah merupakan laporan keuangan satu entitas atau suatu kelompok entitas,Periode penyampaian laporan keuangan,Tanggal awal periode berjalan,Tanggal akhir periode berjalan,Tanggal akhir tahun sebelumnya,Tanggal awal periode sebelumnya,Tanggal akhir periode sebelumnya,Mata uang pelaporan,Kurs konversi pada tanggal pelaporan jika mata uang penyajian selain rupiah,Pembulatan yang digunakan dalam penyajian jumlah dalam laporan keuangan,Jenis laporan atas laporan keuangan,Jenis opini auditor,"Hal yang diungkapkan dalam paragraf pendapat untuk penekanan atas suatu masalah atau paragraf penjelasan lainnya, jika ada",Hasil penugasan review,Tanggal laporan audit atau hasil laporan review,Auditor tahun berjalan,Nama partner audit tahun berjalan,Lama tahun penugasan partner yang menandatangani,Auditor tahun sebelumnya,Nama partner audit tahun sebelumnya,Kepatuhan terhadap pemenuhan peraturan BAPEPAM LK VIII G 11 tentang tanggung jawab direksi atas laporan keuangan,Kepatuhan terhadap pemenuhan peraturan BAPEPAM LK VIII A dua tentang independensi akuntan yang memberikan jasa audit di pasar modal
2018AuditADROFinancialStatement2018TahunanADROxlsx.xlsx,31 December 2018,,ADARO ENERGY Tbk,,ADRO,AA522,Umum / General,2. Mining,21. Coal Mining,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Dollar Amerika / USD,,Ribuan / In Thousand,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"February 28, 2019","Tanudiredja, Wibisana, Rintis & Rekan","Daniel Kohar, S.E., CPA",2,"Tanudiredja, Wibisana, Rintis & Rekan","Daniel Kohar, S.E., CPA",Ya / Yes,Ya / Yes
2018AuditAGIIFinancialStatement2018TahunanAGIIxlsx.xlsx,31 December 2018,,PT Aneka Gas Industri Tbk.,,AGII,AA519,Umum / General,3. Basic Industry And Chemicals,34. Chemicals,National Corporation,Local Company - Indonesia Jurisdiction,Saham dan Obligasi / Stock and Bond,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Jutaan / In Million,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 28, 2019","Paul Hadiwinata, Hidajat, Arsono, Retno, Palilingan & Rekan","Gideon, CPA",1,"Hadori, Sugiarto, Adi & Rekan","Yulianti Sugiarta, CPA",Ya / Yes,Ya / Yes
2018AuditAGROFinancialStatement2018TahunanAGROxlsx.xlsx,31 December 2018,,PT Bank Rakyat Indonesia Agroniaga Tbk,,AGRO,AA420,Keuangan dan Syariah / Financial and Sharia,8. Finance,81. Bank,National Corporation,Local Company - Indonesia Jurisdiction,Saham dan Obligasi / Stock and Bond,Utama / Main,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Ribuan / In Thousand,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 05, 2019","Purwantono, Suherman & Surja",Danil Setiadi Handaja CPA,,"Purwantono,Sungkoro,& Surja",Danil Setiadi Handaja CPA,Ya / Yes,Ya / Yes
2018AuditAGRSFinancialStatement2018TahunanAGRSxlsx.xlsx,31 December 2018,,PT Bank Agris Tbk,,AGRS,AA699,Keuangan dan Syariah / Financial and Sharia,8. Finance,81. Bank,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Jutaan / In Million,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 08, 2019",Gani Sigiro & Handayani,"Tagor Sidik Sigiro, CPA",,Gani Sigiro & Handayani,"Renie Feriana, CPA",Ya / Yes,Ya / Yes
2018AuditAHAPFinancialStatement2018TahunanAHAPxlsx.xlsx,31 December 2018,,Asuransi Harta Aman Pratama Tbk,,AHAP,AA121,Asuransi / Insurance,8. Finance,84. Insurance,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,14481.0,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 22, 2019","Doli, Bambang, Sulistiyanto, Dadang & Ali","Drs. Hardy Manahan Lumban Tobing, Ak., CPA",,"Doli, Bambang, Sudarmadji & Dadang","Drs. Hardy Manahan Lumban Tobing, Ak., CPA",Ya / Yes,Ya / Yes
2018AuditAIMSFinancialStatement2018TahunanAIMSxlsx.xlsx,31 December 2018,,Akbar Indomakmur Stimec Tbk,,AIMS,AA367,Umum / General,"9. Trade, Services & Investment",91. Wholesale (Durable & Non-Durable Goods),National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 28, 2019",Abdul Ghonie Abubakar,Abdul Ghonie Abubakar,,"Doli, Bambang, Sudarmadji & Dadang",Triyanto,Ya / Yes,Ya / Yes
2018AuditAKPIFinancialStatement2018TahunanAKPIxlsx.xlsx,31 December 2018,,Argha Karya Prima Ind. Tbk,,AKPI,AA158,Umum / General,3. Basic Industry And Chemicals,35. Plastics & Packaging,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Ribuan / In Thousand,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 26, 2019","Purwantono, Sungkoro & Surja",David Sungkoro,,"Purwantono, Suherman & Surja",Benyanto Suherman,Ya / Yes,Ya / Yes
2018AuditAKRAFinancialStatement2018TahunanAKRAxlsx.xlsx,31 December 2018,,PT AKR Corporindo Tbk.,,AKRA,AA211,Umum / General,"9. Trade, Services & Investment",91. Wholesale (Durable & Non-Durable Goods),National Corporation,Local Company - Indonesia Jurisdiction,Saham dan Obligasi / Stock and Bond,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Ribuan / In Thousand,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,2019-03-14,"Purwantono, Sungkoro & Surja",Benyanto Suherman,,"Purwantono, Suherman & Surja",Benyanto Suherman,Ya / Yes,Ya / Yes
2018AuditAKSIFinancialStatement2018TahunanAKSIxlsx.xlsx,31 December 2018,,PT Majapahit Inti Corpora Tbk.,,AKSI,AA359,Umum / General,"7. Infrastructure, Utilities And Transportation",74. Transportation,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 18, 2019","Doli, Bambang, Sulistiyanto, Dadang & Ali","Triyanto,S.E., Ak., M.Si., CPA",,"Doli, Bambang, Sudarmadji & Dadang","Triyanto, S.E., Ak., M.Si., CPA",Ya / Yes,Ya / Yes
2018AuditALDOFinancialStatement2018TahunanALDOxlsx.xlsx,31 December 2018,,Alkindo Naratama Tbk,,ALDO,AA589,Umum / General,3. Basic Industry And Chemicals,38. Pulp & Paper,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,14481.0,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 15, 2019",Hendrik &.Rekan,"Ang An Ki, CPA",2,Hendrik &.Rekan,"Ang An Ki, CPA",Ya / Yes,Ya / Yes
2018AuditALKAFinancialStatement2018TahunanALKAxlsx.xlsx,31 December 2018,,Alakasa Industrindo Tbk,,ALKA,AA102,Umum / General,3. Basic Industry And Chemicals,33. Metal And Allied Products,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Ribuan / In Thousand,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 27, 2019",KAP Anwar & Rekan,"Patricia, CPA",,KAP Johannes Juara & Rekan,"Frans Jimmi Parlindungan Sijabat, CPA",Ya / Yes,Ya / Yes
2018AuditALMIFinancialStatement2018TahunanALMIxlsx.xlsx,31 December 2018,,Alumindo Light Metal Industry Tbk,,ALMI,AA269,Umum / General,3. Basic Industry And Chemicals,33. Metal And Allied Products,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 20, 2019","Paul Hadiwinata, Hidajat, Arsono, Retno, Palilingan & Rekan","Titik Elsje Dwiyanti, CPA",,"Paul Hadiwinata, Hidajat, Arsono, Retno, Palilingan & Rekan","Titik Elsje Dwiyanti, CPA",Ya / Yes,Ya / Yes
2018AuditALTOFinancialStatement2018TahunanALTOxlsx.xlsx,31 December 2018,,Tri Banyan Tirta Tbk,,ALTO,AA616,Umum / General,5. Consumer Goods Industry,51. Food And Beverages,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"April 10, 2019",Heliantono & Rekan,"Drs. Akhyadi Wadisono, Ak., CA., CPA",,Heliantono & Rekan,"Drs. Akhyadi Wadisono, Ak., CA., CPA",Ya / Yes,Ya / Yes
2018AuditAMAGFinancialStatement2018TahunanAMAGxlsx.xlsx,31 December 2018,,Asuransi Multi Artha Guna Tbk,,AMAG,AA463,Asuransi / Insurance,8. Finance,84. Insurance,Foreign Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Ribuan / In Thousand,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,2019-03-20,Satrio Bing Eny & Rekan,Riniek Winarsih,,Osman Bing Satrio & Rekan,Riniek Winarsih,Ya / Yes,Ya / Yes
2018AuditAMFGFinancialStatement2018TahunanAMFGxlsx.xlsx,31 December 2018,,Asahimas Flat Glass Tbk,,AMFG,AA251,Umum / General,3. Basic Industry And Chemicals,"32. Ceramics, Glass, Porcelain",National and Foreign Corporation,Joint Venture - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Jutaan / In Million,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 29, 2019",Siddharta Widjaja & Rekan,"Chandra Hartono, S.E., M.M., CPA",,Siddharta Widjaja & Rekan,"Dra. Tohana Widjaja, MBA, CPA",Ya / Yes,Ya / Yes
2018AuditAMINFinancialStatement2018TahunanAMINxlsx.xlsx,31 January 2019,,PT Ateliers Mecaniques D Indonesie Tbk.,,AMIN,AA719,Infrastruktur / Infrastructure,4. Miscellaneous Industry,41. Machinery And Heavy Equipment,"Individual Foreign, Non-Residential",Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas tunggal / Single entity,Tahunan / Annual,2018-02-01,2019-01-31,2018-01-31,2017-02-01,2018-01-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"April 24, 2019",Rama Wendra,"Mimando,SE,AK,CPA,CA",,Rama Wendra,"Mimando,SE,AK,CPA,CA",Ya / Yes,Ya / Yes
2018AuditAMRTFinancialStatement2018TahunanAMRTxlsx.xlsx,31 December 2018,,PT Sumber Alfaria Trijaya Tbk.,,AMRT,AA527,Umum / General,"9. Trade, Services & Investment",93. Retail Trade,National Corporation,Local Company - Indonesia Jurisdiction,Saham dan Obligasi / Stock and Bond,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Jutaan / In Million,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 25, 2019","Purwantono, Sungkoro dan Surja",SHERLY JOKOM,,"Purwantono, Sungkoro dan Surja",SHERLY JOKOM,Ya / Yes,Ya / Yes
2018AuditANDIFinancialStatement2018TahunanANDIxlsx.xlsx,31 December 2018,,PT Andira Agro Tbk,,ANDI,AA839,Umum / General,1. Agriculture,12. Plantation,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 27, 2019",KAP Herman Dody Tanumihardja & Rekan,"Drs. Dody Hapsoro, CPA, CA",,"Kanaka Puradiredja, Suhartono","Nur Muhammad M.Si, CPA",Ya / Yes,Ya / Yes
2018AuditANJTFinancialStatement2018TahunanANJTxlsx.xlsx,31 December 2018,,PT Austindo Nusantara Jaya Tbk.,,ANJT,AA644,Umum / General,1. Agriculture,12. Plantation,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Dollar Amerika / USD,14481.0,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 12, 2019",Siddharta Widjaja & Rekan,"Budi Susanto S.E, M.B.A, CPA",2,Siddharta Widjaja & Rekan,"Budi Susanto S.E, M.B.A, CPA",Ya / Yes,Ya / Yes
2018AuditANTMFinancialStatement2018TahunanANTMxlsx.xlsx,31 December 2018,,Aneka Tambang Tbk.,,ANTM,AA296,Umum / General,2. Mining,23. Metal And Mineral Mining,Indonesian Government,Local Company - Indonesia Jurisdiction,Saham dan Obligasi / Stock and Bond,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Ribuan / In Thousand,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 05, 2019","Tanudiredja, Wibisana, Rintis & Rekan","Daniel Kohar, S.E., CPA",,"Tanuderedja, Wibisana, Rintis & Rekan","Daniel Kohar, S.E., CPA",Ya / Yes,Ya / Yes
2018AuditAPEXFinancialStatement2018TahunanAPEXxlsx.xlsx,31 December 2018,,Apexindo Pratama Duta Tbk,,APEX,AA394,Umum / General,2. Mining,22. Crude Petroleum & Natural Gas Production,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Dollar Amerika / USD,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"July 16, 2019",Osman Bing Satrio dan Rekan,Xenia Ayubudhi,,Osman Bing Satrio & Rekan,Xenia Ayubudhi,Ya / Yes,Ya / Yes
2018AuditAPICFinancialStatement2018TahunanAPICxlsx.xlsx,31 December 2018,,PACIFIC STRATEGIC FINANCIAL Tbk,,APIC,AA404,Umum / General,8. Finance,89. Others - Finance,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 28, 2019","Andi. Drs, Arifin & Rekan",Andi Ruswandi CPA,,"Warnoyo SE., M.Si",Warnoyo dan Mennix,Ya / Yes,Ya / Yes
2018AuditAPIIFinancialStatement2018TahunanAPIIxlsx.xlsx,31 December 2018,,PT Arita Prima Indonesia Tbk.,,APII,AA664,Umum / General,"9. Trade, Services & Investment",91. Wholesale (Durable & Non-Durable Goods),Foreign Corporation,Foreign Company,Saham / Stock,Pengembangan / Development,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 11, 2019","TERAMIHARDJA, PRADHONO & CHANDRA","FITRADEWATA TERAMIHARDJA, S.E., AK., CPA",,"Teramihardja, Pradhono & Chandra","FITRADEWATA TERAMIHARDJA, S.E., AK., CPA",Ya / Yes,Ya / Yes
2018AuditAPLIFinancialStatement2018TahunanAPLIxlsx.xlsx,31 December 2018,,Asiaplast Industries Tbk,,APLI,AA329,Umum / General,3. Basic Industry And Chemicals,35. Plastics & Packaging,National Corporation,Local Company - Indonesia Jurisdiction,Saham / Stock,Utama / Main,Entitas grup / Group entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Satuan Penuh / Full Amount,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 28, 2019","Purwantono, Suherman & Surja",Benediktio Salim,,"Purwantono, Suherman & Surja",Agung Purwanto,Ya / Yes,Ya / Yes
2018AuditAPLNFinancialStatement2018TahunanAPLNxlsx.xlsx,31 December 2018,,PT Agung Podomoro Land Tbk.,,APLN,AA563,Properti / Property,"6. Property, Real Estate And Building Construction",61. Property And Real Estate,National Corporation,Local Company - Indonesia Jurisdiction,Saham dan Obligasi / Stock and Bond,Utama / Main,Entitas tunggal / Single entity,Tahunan / Annual,2018-01-01,2018-12-31,2017-12-31,2017-01-01,2017-12-31,Rupiah / IDR,,Ribuan / In Thousand,Diaudit / Audited,Wajar Tanpa Pengecualian / Unqualified,,,"March 28, 2019",Tanubrata Sutanto Fahmi Bambang & Rekan,Michell Suharli,,Satrio Bing Eny & Rekan,Alvin Ismanto,Ya / Yes,Ya / Yes
